"source","commit","blob","source_sha256","dest","dest_sha256_at_import","treatment","note"
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link6_16.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","ef541608c6e1722dc09c3752a06675110fbef7d7","551d7a8b37c53e7a152d008b4e36992e5b5abe74a4be18b57ee6319c27def09f","assets/mjcf/panda/assets/link6_16.obj","551d7a8b37c53e7a152d008b4e36992e5b5abe74a4be18b57ee6319c27def09f","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link6_2.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","6281d594fdad7ea84c116a2d515eca74fe87711d","e54eee4d8232947ee8af65afd5a067e09dac2da6e7e585cb1dccb65496457da0","assets/mjcf/panda/assets/link6_2.obj","e54eee4d8232947ee8af65afd5a067e09dac2da6e7e585cb1dccb65496457da0","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link6_3.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","212943b17bd21713eab8279ad905b8323d366e09","d4f6a25ef32fa1fa4734146981994ee760232cb077c80fea6487d78a077c7f27","assets/mjcf/panda/assets/link6_3.obj","d4f6a25ef32fa1fa4734146981994ee760232cb077c80fea6487d78a077c7f27","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link6_4.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","17aff9f4a6d4103e35ae723c927a0749eaa67df3","be353480fe71d46f7a96f0a3cbb7e112caaf8d88368826f321a36a253c8749b2","assets/mjcf/panda/assets/link6_4.obj","be353480fe71d46f7a96f0a3cbb7e112caaf8d88368826f321a36a253c8749b2","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link6_5.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","af8b5cc59cb1c5c9c22993b7f2481b9e6baf63cb","7c87664623c3e1a6cb330db273227a69626dc5e53b4caff1d4ee7911eb3340c6","assets/mjcf/panda/assets/link6_5.obj","7c87664623c3e1a6cb330db273227a69626dc5e53b4caff1d4ee7911eb3340c6","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link6_6.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","db6f0d570a3f5bbfc52d0e12424f10dd3f79298b","8fbc031e0d07b795ebf99115c75223141caaba317cab569159f3d477a7821681","assets/mjcf/panda/assets/link6_6.obj","8fbc031e0d07b795ebf99115c75223141caaba317cab569159f3d477a7821681","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link6_7.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","eb3a586c82ae32cfb63546b83a0d9142fdb8e9af","7dc5ebb799fe281aab27d6e84e7a4efa0a8e42da2369ec83de3ea3f206f62d73","assets/mjcf/panda/assets/link6_7.obj","7dc5ebb799fe281aab27d6e84e7a4efa0a8e42da2369ec83de3ea3f206f62d73","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link6_8.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","dc28c6d1d77f68a5796234a9702b6aa8776b5b60","e3f77381817a341030f9dcc4c4aa7c559f80411b453fd87eb0fefecca82151bf","assets/mjcf/panda/assets/link6_8.obj","e3f77381817a341030f9dcc4c4aa7c559f80411b453fd87eb0fefecca82151bf","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link6_9.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","56421f8d7f1dbc11460641e60fd419c83442de7b","25a56ea9b02a03b6cb5a81f31c54f54d0185e1a0b3937c37e4289d896e50215a","assets/mjcf/panda/assets/link6_9.obj","25a56ea9b02a03b6cb5a81f31c54f54d0185e1a0b3937c37e4289d896e50215a","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link7.stl","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","0532d057507637533d25f4b3ed451f213685a61d","92ac6afcf7574c034d3170d8a68e95ac9048ab9d0dd5bbd8311b86e551b9ab1c","assets/mjcf/panda/assets/link7.stl","92ac6afcf7574c034d3170d8a68e95ac9048ab9d0dd5bbd8311b86e551b9ab1c","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link7_0.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","f87d32aa31656ceb036a4bedfddba0d9378b1336","04586b0bde011715cfc22072ac72fe0717eb4d4817bcf665987ce6cd88eb2b93","assets/mjcf/panda/assets/link7_0.obj","04586b0bde011715cfc22072ac72fe0717eb4d4817bcf665987ce6cd88eb2b93","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link7_1.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","762c0a8583367c5450efcfc74007c80d6b25ae14","c3f72289f394c9d6749a4a327fb11f05b203c37c95032c92f28019b40ebe7e00","assets/mjcf/panda/assets/link7_1.obj","c3f72289f394c9d6749a4a327fb11f05b203c37c95032c92f28019b40ebe7e00","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link7_2.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","2a35c5f8240c9fa0b163e201b01a458e3af8fa08","d2faecedb304d0989040d082410378dc949dbbda23bd18c05134f08aae984db5","assets/mjcf/panda/assets/link7_2.obj","d2faecedb304d0989040d082410378dc949dbbda23bd18c05134f08aae984db5","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link7_3.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","8ff85cf7722b24050e56cc4af50eeb24d48eb8c8","b62d87c4d4bdb7b281ed341d347c39dad0e50bf36aed8ac11d050073701d5f70","assets/mjcf/panda/assets/link7_3.obj","b62d87c4d4bdb7b281ed341d347c39dad0e50bf36aed8ac11d050073701d5f70","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link7_4.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","2cdad2df7a5771fc0a1440992a5738ab9613a1d5","cb78ccb61fd4ad6c7bff4c4d2e6cb41e1964a5a3e1a28e67c0c6202371cfc018","assets/mjcf/panda/assets/link7_4.obj","cb78ccb61fd4ad6c7bff4c4d2e6cb41e1964a5a3e1a28e67c0c6202371cfc018","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link7_5.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","860d25fc767ed54c5c5ab92981de716a88496dc2","099071d3090b51471ba52f4f90814fd3089f4975d196e4d488117073d0bfe491","assets/mjcf/panda/assets/link7_5.obj","099071d3090b51471ba52f4f90814fd3089f4975d196e4d488117073d0bfe491","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link7_6.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","9c00fa0369770bbefdcc6e423b7e99e83aa69b77","99469e2d95ab74ce0292f2f16954c87a8a7dc16652e62e970fe37c94330a81bb","assets/mjcf/panda/assets/link7_6.obj","99469e2d95ab74ce0292f2f16954c87a8a7dc16652e62e970fe37c94330a81bb","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link7_7.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","19d7b0f6621e64114fc0ca49f87e8ebeade4d713","426c3db8a19373f3dc73d4bec672e948121b2914c10e2e7b9c7ea80643a19e54","assets/mjcf/panda/assets/link7_7.obj","426c3db8a19373f3dc73d4bec672e948121b2914c10e2e7b9c7ea80643a19e54","そのまま",""
"pytools/panda_teleop/panda_teleop/gui/gui_core.py","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","a97b8dfef96581b5b13f530c9b4a6907049a5d88","f95ae293a3af003ea8834821146f421f228e352aa96bef37f6adeef722a8f089","src/recovla/eval/stats.py","d599615372ff15963c8f6d8f663c1f780c00648bc445798fe6f26637f7303d10","関数だけ","gui_core.py の 411〜419 行目（wilson_interval）と import math だけ"
